contigName	contigLen	totalAvgDepth	Patl_draftAssembly_includesContamination.fasta.mapped.sorted.bam	Patl_draftAssembly_includesContamination.fasta.mapped.sorted.bam-var
NODE_31_length_604187_cov_123.301	604187	747.677	747.677	6655.77
NODE_32_length_589348_cov_132.295	589348	814.616	814.616	7925.41
NODE_33_length_587059_cov_13.0842	587059	81.5504	81.5504	172.068
NODE_34_length_578105_cov_12.3799	578105	74.6279	74.6279	147.664
NODE_35_length_558004_cov_16.4839	558004	102.903	102.903	250.637
NODE_36_length_523757_cov_3.81172	523757	22.9286	22.9286	70.4927
NODE_37_length_513782_cov_14.2819	513782	88.9051	88.9051	172.591
NODE_38_length_509224_cov_12.3608	509224	77.7234	77.7234	162.503
NODE_39_length_503600_cov_6.19295	503600	36.88	36.88	66.015
NODE_40_length_503301_cov_10.5979	503301	66.1328	66.1328	139.793
NODE_41_length_499710_cov_12.8782	499710	80.3325	80.3325	156.442
NODE_42_length_478537_cov_102.58	478537	627.052	627.052	7436.96
NODE_43_length_474382_cov_100.294	474382	623.308	623.308	7940.59
NODE_44_length_473954_cov_12.7365	473954	79.3676	79.3676	147.333
NODE_45_length_470661_cov_12.5631	470661	78.0117	78.0117	146.953
NODE_46_length_470169_cov_11.7214	470169	71.1594	71.1594	164.668
NODE_47_length_466741_cov_96.5133	466741	600.997	600.997	6856.02
NODE_48_length_453883_cov_14.3261	453883	88.9116	88.9116	172.395
NODE_49_length_451254_cov_17.3222	451254	106.518	106.518	283.211
NODE_50_length_448231_cov_13.0502	448231	81.5435	81.5435	154.355
NODE_51_length_444893_cov_12.5534	444893	78.394	78.394	165.391
NODE_52_length_442202_cov_10.797	442202	66.6059	66.6059	137.642
NODE_53_length_441141_cov_13.1308	441141	81.886	81.886	142.317
NODE_54_length_431643_cov_95.7746	431643	597.077	597.077	9206.01
NODE_55_length_427807_cov_13.1142	427807	82.2882	82.2882	157.755
NODE_56_length_425436_cov_18.0986	425436	108.88	108.88	2668.4
NODE_57_length_424430_cov_103.147	424430	629.348	629.348	11189.2
NODE_58_length_421899_cov_99.6935	421899	616.408	616.408	11115
NODE_59_length_417228_cov_12.9304	417228	80.8552	80.8552	157.127
NODE_60_length_417128_cov_100.111	417128	619.908	619.908	7600.69
NODE_61_length_402204_cov_9.94494	402204	63.0311	63.0311	120.322
NODE_62_length_402149_cov_13.2686	402149	82.502	82.502	164.678
NODE_63_length_401437_cov_10.2165	401437	65.103	65.103	144.687
NODE_64_length_400847_cov_120.026	400847	725.484	725.484	6228.17
NODE_65_length_394637_cov_123.94	394637	748.106	748.106	8905.97
NODE_66_length_393078_cov_12.0894	393078	73.5759	73.5759	153.845
NODE_67_length_387985_cov_11.431	387985	71.2525	71.2525	145.606
NODE_68_length_384895_cov_121.536	384895	737.451	737.451	7601.7
NODE_69_length_382342_cov_130.572	382342	797.285	797.285	8341.86
NODE_70_length_380767_cov_11.7352	380767	72.5075	72.5075	131.646
NODE_71_length_370589_cov_50.3827	370589	311.691	311.691	1353.34
NODE_72_length_358801_cov_17.1069	358801	103.747	103.747	366.553
NODE_73_length_357148_cov_11.382	357148	70.43	70.43	140.065
NODE_74_length_339095_cov_10.8164	339095	68.3673	68.3673	143.195
NODE_75_length_338261_cov_2.93536	338261	18.1366	18.1366	27.1959
NODE_76_length_337153_cov_50.2316	337153	312.978	312.978	1456.73
NODE_77_length_334686_cov_11.4544	334686	70.988	70.988	159.555
NODE_78_length_332665_cov_93.8993	332665	571.491	571.491	12307.6
NODE_79_length_322750_cov_104.739	322750	649.071	649.071	8337.11
NODE_80_length_322453_cov_6.1501	322453	36.6581	36.6581	61.0114
NODE_81_length_321753_cov_17.0884	321753	105.266	105.266	238.104
NODE_82_length_320318_cov_12.0032	320318	73.1245	73.1245	179.874
NODE_83_length_316549_cov_12.2696	316549	74.4832	74.4832	159.592
NODE_84_length_316192_cov_2.02871	316192	12.1736	12.1736	16.9795
NODE_85_length_315217_cov_16.0006	315217	99.4797	99.4797	228.027
NODE_86_length_315160_cov_96.6907	315160	600.842	600.842	6910.89
NODE_87_length_310389_cov_13.1074	310389	81.5754	81.5754	157.08
NODE_88_length_310378_cov_6.12643	310378	36.5569	36.5569	66.8377
NODE_89_length_310342_cov_11.9704	310342	75.4482	75.4482	170.839
NODE_90_length_305528_cov_9.10541	305528	50.1681	50.1681	83.3737
NODE_91_length_303629_cov_10.0292	303629	63.4448	63.4448	128.461
NODE_92_length_301595_cov_19.8526	301595	111.929	111.929	1139.84
NODE_93_length_295571_cov_10.9174	295571	68.7422	68.7422	134.555
NODE_94_length_294708_cov_9.06073	294708	50.1753	50.1753	77.5686
NODE_95_length_287793_cov_98.5874	287793	611.495	611.495	8143.06
NODE_96_length_287637_cov_11.3895	287637	70.6763	70.6763	134.308
NODE_97_length_287354_cov_2.01068	287354	12.0992	12.0992	17.5701
NODE_98_length_286027_cov_2.8473	286027	17.5945	17.5945	26.7788
NODE_99_length_283835_cov_120.713	283835	736.949	736.949	7540.23
NODE_100_length_282445_cov_130.21	282445	803.43	803.43	8489.45
NODE_101_length_281167_cov_122.384	281167	760.6	760.6	7268.04
NODE_102_length_277391_cov_13.2012	277391	82.0675	82.0675	182.955
NODE_103_length_267231_cov_11.6445	267231	72.1785	72.1785	147.275
NODE_104_length_265483_cov_11.3379	265483	70.6264	70.6264	129.176
NODE_105_length_264182_cov_124.33	264182	767.607	767.607	5689.48
NODE_106_length_261533_cov_122.425	261533	745.763	745.763	6844.87
NODE_107_length_261484_cov_14.5527	261484	90.1581	90.1581	231.183
NODE_108_length_261015_cov_12.3902	261015	75.071	75.071	183.849
NODE_109_length_260047_cov_2.02005	260047	12.0672	12.0672	17.5076
NODE_110_length_258673_cov_6.55421	258673	38.3334	38.3334	76.0594
NODE_111_length_258213_cov_12.1684	258213	76.4452	76.4452	156.042
NODE_112_length_257064_cov_99.8957	257064	617.617	617.617	12910.6
NODE_113_length_255608_cov_2.05647	255608	12.2845	12.2845	17.2676
NODE_114_length_255371_cov_12.5727	255371	75.6782	75.6782	178.712
NODE_115_length_254787_cov_12.4941	254787	75.2101	75.2101	190.281
NODE_116_length_251076_cov_16.8553	251076	103.603	103.603	259.006
NODE_117_length_242894_cov_97.3883	242894	604.905	604.905	6097.41
NODE_118_length_239655_cov_12.3466	239655	75.3005	75.3005	156.298
NODE_119_length_233275_cov_17.0656	233275	104.076	104.076	269.193
NODE_120_length_233272_cov_9.88482	233272	64.2863	64.2863	133.211
NODE_121_length_229641_cov_105.955	229641	330.737	330.737	1615.79
NODE_122_length_229026_cov_2.77709	229026	17.0841	17.0841	26.4331
NODE_123_length_226671_cov_11.2943	226671	70.3646	70.3646	140.117
NODE_124_length_222949_cov_98.3546	222949	610.049	610.049	7284.43
NODE_125_length_221438_cov_13.945	221438	86.784	86.784	181.843
NODE_126_length_219792_cov_11.6137	219792	71.6412	71.6412	166.013
NODE_127_length_219402_cov_9.57283	219402	62.3649	62.3649	198.306
NODE_128_length_215672_cov_2.78903	215672	17.203	17.203	27.3872
NODE_129_length_213105_cov_8.97673	213105	56.9833	56.9833	178.115
NODE_130_length_212623_cov_11.6107	212623	72.0913	72.0913	136.467
NODE_131_length_212414_cov_2.16526	212414	12.6663	12.6663	19.0238
NODE_132_length_212179_cov_11.6904	212179	72.8208	72.8208	162.076
NODE_133_length_207053_cov_2.07336	207053	12.3877	12.3877	18.3978
NODE_134_length_206993_cov_6.22864	206993	37.2802	37.2802	64.158
NODE_135_length_206886_cov_9.88967	206886	62.681	62.681	123.997
NODE_136_length_206651_cov_17.168	206651	105.471	105.471	238.471
NODE_137_length_206511_cov_1.95072	206511	11.7171	11.7171	17.2672
NODE_138_length_206292_cov_6.17137	206292	36.9394	36.9394	74.8056
NODE_139_length_200568_cov_12.9862	200568	75.9396	75.9396	194.959
NODE_140_length_197743_cov_13.6673	197743	85.1042	85.1042	157.838
NODE_141_length_196635_cov_11.3863	196635	70.3284	70.3284	171.756
NODE_142_length_195392_cov_120.074	195392	741.323	741.323	5920.58
NODE_143_length_191935_cov_15.9444	191935	99.353	99.353	214.559
NODE_144_length_191904_cov_9.82112	191904	62.2483	62.2483	120.843
NODE_145_length_191881_cov_12.2929	191881	76.9959	76.9959	175.507
NODE_146_length_188929_cov_11.3531	188929	70.4058	70.4058	131.434
NODE_147_length_188052_cov_1.8964	188052	11.8045	11.8045	16.1211
NODE_148_length_186646_cov_12.2702	186646	74.6671	74.6671	149.336
NODE_149_length_185701_cov_127.27	185701	771.441	771.441	11147.9
NODE_150_length_185177_cov_11.4628	185177	71.2098	71.2098	132.944
NODE_151_length_184391_cov_1.99149	184391	12.0399	12.0399	17.0218
NODE_152_length_182559_cov_120.453	182559	742.985	742.985	5373.47
NODE_153_length_182055_cov_2.83308	182055	17.3366	17.3366	25.6865
NODE_154_length_180204_cov_1.92224	180204	11.9691	11.9691	17.1318
NODE_155_length_179866_cov_123.78	179866	769.269	769.269	5694.16
NODE_156_length_179279_cov_8.77173	179279	48.4248	48.4248	75.1944
NODE_157_length_177125_cov_17.516	177125	107.819	107.819	304.494
NODE_158_length_176487_cov_2.16426	176487	12.6728	12.6728	18.3346
NODE_159_length_176034_cov_9.64078	176034	62.7025	62.7025	196.654
NODE_160_length_175386_cov_124.354	175386	770.348	770.348	15474.2
NODE_161_length_175356_cov_123.448	175356	765.073	765.073	5827.63
NODE_162_length_175226_cov_2.69964	175226	16.7204	16.7204	25.191
NODE_163_length_175123_cov_6.15897	175123	36.6606	36.6606	67.7576
NODE_164_length_172428_cov_11.2428	172428	70.2989	70.2989	126.184
NODE_165_length_172369_cov_12.4018	172369	77.8697	77.8697	173.072
NODE_166_length_168506_cov_98.6219	168506	598.895	598.895	6147.72
NODE_167_length_166399_cov_123.331	166399	761.752	761.752	7530.05
NODE_168_length_166200_cov_11.7421	166200	72.876	72.876	136.073
NODE_169_length_166199_cov_1.94063	166199	11.6192	11.6192	15.242
NODE_170_length_165393_cov_2.20993	165393	12.8384	12.8384	17.2614
NODE_171_length_164867_cov_9.57073	164867	63.6774	63.6774	117.385
NODE_172_length_163192_cov_13.6207	163192	84.4087	84.4087	169.646
NODE_173_length_162539_cov_118.588	162539	718.987	718.987	9615.61
NODE_174_length_159385_cov_8.57928	159385	48.2026	48.2026	78.2957
NODE_175_length_158835_cov_122.997	158835	760.571	760.571	6865.87
NODE_176_length_157426_cov_9.98363	157426	65.0278	65.0278	138.583
NODE_177_length_156834_cov_105.103	156834	645.424	645.424	53786.7
NODE_178_length_155581_cov_119.277	155581	720.215	720.215	7324.2
NODE_179_length_155032_cov_11.5522	155032	72.4407	72.4407	133.306
NODE_180_length_154725_cov_122.575	154725	759.755	759.755	5734.05
NODE_181_length_154311_cov_122.726	154311	760.935	760.935	6884.96
NODE_182_length_153955_cov_13.8344	153955	85.9454	85.9454	159.684
NODE_183_length_153065_cov_122.922	153065	759.645	759.645	6940.6
NODE_184_length_152191_cov_2.01036	152191	12.0745	12.0745	17.2137
NODE_185_length_150516_cov_11.571	150516	71.8618	71.8618	130.319
NODE_186_length_149611_cov_1.90655	149611	11.5999	11.5999	17.3342
NODE_187_length_149515_cov_15.3326	149515	96.2179	96.2179	225.798
NODE_188_length_148102_cov_126.817	148102	786.309	786.309	9204.24
NODE_189_length_147272_cov_12.47	147272	78.0695	78.0695	153.983
NODE_190_length_146545_cov_118.602	146545	737.877	737.877	5911.26
NODE_191_length_145717_cov_2.58199	145717	14.3221	14.3221	21.2609
NODE_192_length_144065_cov_17.1521	144065	106.174	106.174	250.877
NODE_193_length_143463_cov_129.227	143463	797.996	797.996	63279.5
NODE_194_length_143091_cov_1.98124	143091	11.8477	11.8477	16.8529
NODE_195_length_141782_cov_124.925	141782	774.769	774.769	6555.75
NODE_196_length_141001_cov_96.4589	141001	601.93	601.93	8064.17
NODE_197_length_140542_cov_12.0752	140542	75.7013	75.7013	187.385
NODE_198_length_139483_cov_8.88976	139483	49.104	49.104	80.3653
NODE_199_length_139069_cov_2.73829	139069	17.0371	17.0371	25.6571
NODE_200_length_137768_cov_12.6906	137768	78.475	78.475	162.828
NODE_201_length_134409_cov_9.56462	134409	62.8535	62.8535	146.703
NODE_202_length_133676_cov_2.89812	133676	17.4714	17.4714	72.4525
NODE_203_length_133552_cov_2.06774	133552	12.3173	12.3173	17.3104
NODE_204_length_133077_cov_2.85041	133077	17.4886	17.4886	25.3809
NODE_205_length_131379_cov_125.084	131379	776.495	776.495	10366.8
NODE_206_length_128258_cov_3.076	128258	19.3167	19.3167	31.5776
NODE_207_length_127990_cov_41.9511	127990	255.379	255.379	2719.85
NODE_208_length_127821_cov_2.63028	127821	16.3348	16.3348	25.8771
NODE_209_length_127056_cov_12.5673	127056	78.8556	78.8556	150.066
NODE_210_length_125041_cov_10.1985	125041	66.4918	66.4918	129.13
NODE_211_length_124909_cov_1.9298	124909	11.5971	11.5971	17.1985
NODE_212_length_124149_cov_12.0076	124149	74.0084	74.0084	140.823
NODE_213_length_123443_cov_2.60175	123443	16.2874	16.2874	24.8496
NODE_214_length_123263_cov_2.73545	123263	16.865	16.865	22.2439
NODE_215_length_122444_cov_121.566	122444	753.485	753.485	5354.71
NODE_216_length_121954_cov_2.09334	121954	12.4511	12.4511	17.7578
NODE_217_length_118732_cov_119.704	118732	743.764	743.764	4978.26
NODE_218_length_118336_cov_8.92959	118336	49.4459	49.4459	74.7155
NODE_219_length_118247_cov_9.22345	118247	56.8443	56.8443	118.123
NODE_220_length_118195_cov_2.60089	118195	15.9312	15.9312	25.3737
NODE_221_length_117980_cov_13.4123	117980	83.3227	83.3227	147.673
NODE_222_length_117696_cov_43.5309	117696	262.157	262.157	2056.52
NODE_223_length_117318_cov_8.83355	117318	48.6678	48.6678	78.0607
NODE_224_length_117286_cov_8.77625	117286	49.5788	49.5788	76.4369
NODE_225_length_116816_cov_48.6749	116816	303.749	303.749	1490.02
NODE_226_length_116647_cov_2.59004	116647	15.8929	15.8929	23.6476
NODE_227_length_116586_cov_2.81393	116586	17.3485	17.3485	25.6237
NODE_228_length_115603_cov_2.76051	115603	17.0656	17.0656	23.9473
NODE_229_length_115557_cov_1.98854	115557	11.8015	11.8015	16.2949
NODE_230_length_115503_cov_2.54072	115503	14.3394	14.3394	21.2113
NODE_231_length_114948_cov_43.6263	114948	262.217	262.217	2228.62
NODE_232_length_114645_cov_2.04205	114645	12.1697	12.1697	17.5426
NODE_233_length_114017_cov_9.95041	114017	63.8363	63.8363	191.216
NODE_234_length_113484_cov_2.74658	113484	16.8574	16.8574	25.5984
NODE_235_length_113154_cov_123.746	113154	750.689	750.689	9077.61
NODE_236_length_112821_cov_1.95769	112821	11.727	11.727	17.7773
NODE_237_length_112619_cov_2.57579	112619	15.9139	15.9139	25.2424
NODE_238_length_112501_cov_16.83	112501	101.45	101.45	439.362
NODE_239_length_112187_cov_2.68385	112187	16.5948	16.5948	46.0325
NODE_240_length_109795_cov_2.727	109795	16.7975	16.7975	22.9678
NODE_241_length_109304_cov_2.68757	109304	16.7085	16.7085	22.7973
NODE_242_length_109117_cov_57.6357	109117	349.947	349.947	2995.48
NODE_243_length_108604_cov_14.2244	108604	81.1077	81.1077	951.032
NODE_244_length_108314_cov_2.89622	108314	17.8985	17.8985	26.2642
NODE_245_length_107799_cov_48.6826	107799	300.945	300.945	1658.68
NODE_246_length_107791_cov_2.0705	107791	12.3213	12.3213	19.6999
NODE_247_length_107773_cov_13.5339	107773	79.6208	79.6208	177.254
NODE_248_length_106035_cov_6.75834	106035	42.7387	42.7387	76.863
NODE_249_length_105383_cov_1.93021	105383	12.0594	12.0594	16.4446
NODE_250_length_105341_cov_8.99522	105341	50.1074	50.1074	76.9291
NODE_251_length_105033_cov_123.971	105033	769.305	769.305	7182.35
NODE_252_length_104809_cov_127.53	104809	784.084	784.084	7128.87
NODE_253_length_104570_cov_9.94664	104570	65.5463	65.5462	136.232
NODE_254_length_104014_cov_8.29303	104014	46.1804	46.1804	70.5166
NODE_255_length_103851_cov_17.418	103851	106.826	106.826	284.125
NODE_256_length_103764_cov_17.2711	103764	105.762	105.762	225.089
NODE_257_length_103188_cov_121.298	103188	748.606	748.606	5665.96
NODE_258_length_102714_cov_50.9698	102714	311.14	311.14	1975.5
NODE_259_length_102487_cov_2.5791	102487	15.9681	15.9681	23.1681
NODE_260_length_102000_cov_1.98939	102000	11.9234	11.9234	17.4653
NODE_261_length_101263_cov_1.99133	101263	11.8707	11.8707	18.4334
NODE_262_length_101242_cov_1.98304	101242	11.8673	11.8673	16.507
NODE_263_length_101175_cov_1.99787	101175	11.9621	11.9621	17.98
NODE_264_length_100869_cov_2.62759	100869	16.0968	16.0968	21.1543
NODE_265_length_100326_cov_2.04997	100326	12.2146	12.2146	17.9875
NODE_266_length_100322_cov_16.0111	100322	99.5788	99.5788	221.999
NODE_267_length_100251_cov_2.75141	100251	17.0009	17.0009	26.2951
NODE_268_length_100096_cov_2.53521	100096	15.9374	15.9374	21.8726
NODE_269_length_99899_cov_2.47376	99899	15.3511	15.3511	22.1081
NODE_270_length_99763_cov_2.05309	99763	12.2554	12.2554	18.4166
NODE_271_length_99346_cov_2.62158	99346	16.0898	16.0898	21.3648
NODE_272_length_99089_cov_2.59631	99089	16.0357	16.0357	22.1587
NODE_273_length_98849_cov_2.64521	98849	16.3355	16.3355	24.8192
NODE_274_length_98170_cov_17.1754	98170	103.26	103.26	245.705
NODE_275_length_97754_cov_2.00966	97754	12.4719	12.4719	17.8919
NODE_276_length_96924_cov_2.62683	96924	16.1327	16.1327	22.4606
NODE_277_length_96726_cov_120.462	96726	749.777	749.777	5209.19
NODE_278_length_96630_cov_2.76952	96630	17.0096	17.0096	25.4047
NODE_279_length_95566_cov_56.168	95566	340.987	340.987	4418
NODE_280_length_95381_cov_1.8926	95381	11.4613	11.4613	17.1396
NODE_281_length_95168_cov_2.01223	95168	12.0649	12.0649	15.9069
NODE_282_length_94379_cov_2.04684	94379	12.2023	12.2023	17.4211
NODE_283_length_94070_cov_2.61719	94070	16.1741	16.1741	21.7089
NODE_284_length_93888_cov_124.18	93888	766.64	766.64	7328.67
NODE_285_length_93287_cov_2.76246	93287	16.6898	16.6898	24.537
NODE_286_length_92572_cov_54.866	92572	334.211	334.211	2347.51
NODE_287_length_92165_cov_13.6904	92165	80.1488	80.1488	166.853
NODE_288_length_91614_cov_2.49395	91614	15.3441	15.3441	27.6831
NODE_289_length_91436_cov_2.12446	91436	12.4812	12.4812	17.4904
NODE_290_length_91018_cov_8.73204	91018	48.0804	48.0804	74.2023
NODE_291_length_90970_cov_8.91256	90970	57.9142	57.9142	398.923
NODE_292_length_90754_cov_1.8182	90754	11.529	11.529	16.9523
NODE_293_length_90196_cov_2.6293	90196	16.2981	16.2981	23.9167
NODE_294_length_90117_cov_43.6379	90117	266.271	266.271	1829.47
NODE_295_length_89459_cov_1.93946	89459	12.1161	12.1161	17.0795
NODE_296_length_89424_cov_1.82569	89424	11.5202	11.5202	16.4452
NODE_297_length_89367_cov_8.27654	89367	46.141	46.141	72.5426
NODE_298_length_88721_cov_49.8104	88721	301.812	301.812	2469.49
NODE_299_length_88593_cov_58.8264	88593	356.625	356.625	2995.43
NODE_300_length_88096_cov_6.12106	88096	36.5779	36.5779	72.8903
NODE_301_length_87824_cov_1.87438	87824	11.838	11.838	15.9292
NODE_302_length_86651_cov_18.1002	86651	110.915	110.915	352.177
NODE_303_length_86596_cov_2.59355	86596	16.0034	16.0034	24.4806
NODE_304_length_86240_cov_9.56694	86240	63.29	63.29	126.039
NODE_305_length_85630_cov_2.76614	85630	16.9016	16.9016	25.8748
NODE_306_length_85542_cov_1.87889	85542	11.2372	11.2372	14.9672
NODE_307_length_85269_cov_2.15125	85269	12.7886	12.7886	19.1137
NODE_308_length_85145_cov_1.93717	85145	11.5223	11.5223	16.7341
NODE_309_length_84900_cov_43.6915	84900	265.609	265.609	2202.18
NODE_310_length_84832_cov_3.01859	84832	18.531	18.531	56.1117
NODE_311_length_84745_cov_1.92655	84745	11.8301	11.8301	16.33
NODE_312_length_84392_cov_2.72459	84392	16.9308	16.9308	26.5399
NODE_313_length_83502_cov_50.7994	83502	312.746	312.746	1263.26
NODE_314_length_83341_cov_43.9471	83341	266.533	266.533	2688.51
NODE_315_length_83276_cov_1.86476	83276	11.6487	11.6487	17.1223
NODE_316_length_82840_cov_7.99467	82840	44.3247	44.3247	65.6337
NODE_317_length_82765_cov_2.58661	82765	15.9445	15.9445	20.6487
NODE_318_length_82610_cov_1.84036	82610	11.5295	11.5295	16.989
NODE_319_length_82259_cov_99.6731	82259	614.314	614.314	6212.28
NODE_320_length_82140_cov_2.61077	82140	16.281	16.281	26.9902
NODE_321_length_81700_cov_2.72066	81700	16.916	16.916	24.127
NODE_322_length_81396_cov_2.14408	81396	12.6945	12.6945	17.4279
NODE_323_length_81339_cov_43.9824	81339	263.063	263.063	2198.35
NODE_324_length_81278_cov_2.64473	81278	16.0382	16.0382	20.8458
NODE_325_length_80964_cov_52.496	80964	310.317	310.317	2833.94
NODE_326_length_80512_cov_119.549	80512	741.616	741.616	4758.04
NODE_327_length_80401_cov_11.641	80401	73.242	73.242	153.24
NODE_328_length_80379_cov_1.88633	80379	11.2287	11.2287	15.881
NODE_329_length_80234_cov_1.92669	80234	12.0812	12.0812	18.5185
NODE_330_length_79915_cov_2.47011	79915	15.2867	15.2867	19.3436
NODE_331_length_79170_cov_1.95761	79170	11.7954	11.7954	16.2713
NODE_332_length_79088_cov_2.37849	79088	14.8013	14.8013	26.2714
NODE_333_length_78756_cov_12.8271	78756	76.3517	76.3517	162.093
NODE_334_length_78119_cov_8.52864	78119	46.9548	46.9548	68.3907
NODE_335_length_77843_cov_2.92752	77843	17.8383	17.8383	25.1298
NODE_336_length_76721_cov_8.44315	76721	47.1686	47.1686	68.0453
NODE_337_length_76542_cov_44.1157	76542	264.119	264.119	1841.87
NODE_338_length_76170_cov_11.3111	76170	69.6209	69.6209	236.334
NODE_339_length_75887_cov_6.05384	75887	36.011	36.011	61.7555
NODE_340_length_75795_cov_6.02091	75795	36.5328	36.5328	66.5459
NODE_341_length_75772_cov_44.4042	75772	269.527	269.527	2154.86
NODE_342_length_75299_cov_2.80665	75299	17.4454	17.4454	24.5596
NODE_343_length_75096_cov_2.73689	75096	16.7783	16.7783	26.2699
NODE_344_length_75062_cov_2.67238	75062	16.2284	16.2284	24.8502
NODE_345_length_75015_cov_2.73988	75015	16.828	16.828	24.5546
NODE_346_length_74971_cov_2.0019	74971	11.9177	11.9177	17.4572
NODE_347_length_74847_cov_2.54147	74847	15.6486	15.6486	23.5076
NODE_348_length_74643_cov_2.09461	74643	12.5026	12.5026	18.7882
NODE_349_length_74536_cov_42.4687	74536	259.284	259.284	2515.47
NODE_350_length_73285_cov_1.98432	73285	11.83	11.83	17.1577
NODE_351_length_73231_cov_17.7959	73231	110.373	110.373	288.866
NODE_352_length_73023_cov_2.58907	73023	16.2542	16.2542	23.3132
NODE_353_length_72480_cov_2.6862	72480	16.7885	16.7885	26.1905
NODE_354_length_72355_cov_1.83485	72355	10.9692	10.9692	14.7013
NODE_355_length_72340_cov_10.0959	72340	66.1759	66.1759	112.574
NODE_356_length_72146_cov_1.94901	72146	12.3077	12.3077	15.7837
NODE_357_length_71923_cov_117.157	71923	729.899	729.899	8578.84
NODE_358_length_71915_cov_1.85766	71915	11.4157	11.4157	13.8743
NODE_359_length_71674_cov_56.5763	71674	343.34	343.34	3555.37
NODE_360_length_71558_cov_1.91215	71558	11.8118	11.8118	18.5039
NODE_361_length_70953_cov_133.172	70953	822.764	822.764	6111.71
NODE_362_length_70486_cov_43.1839	70486	263.806	263.806	2340.53
NODE_363_length_70357_cov_1.86134	70357	11.7738	11.7738	15.6312
NODE_364_length_70338_cov_17.4502	70338	106.839	106.839	250.46
NODE_365_length_70321_cov_120.404	70321	739.8	739.8	5109.79
NODE_366_length_70218_cov_56.6514	70218	343.671	343.671	3633.44
NODE_367_length_70136_cov_1.97796	70136	11.7846	11.7846	17.8204
NODE_368_length_69939_cov_126.735	69939	786.445	786.445	6173.58
NODE_369_length_69843_cov_57.6088	69843	349.904	349.904	4468.43
NODE_370_length_69531_cov_42.6652	69531	258.582	258.582	2298.78
NODE_371_length_69258_cov_68.648	69258	426.989	426.989	2146.37
NODE_372_length_69216_cov_2.01353	69216	12.373	12.373	17.7324
NODE_373_length_68164_cov_1.86216	68164	11.6557	11.6557	15.1141
NODE_374_length_68162_cov_15.8981	68162	99.4579	99.4579	232.533
NODE_375_length_68087_cov_10.0255	68087	65.7594	65.7594	133.482
NODE_376_length_67815_cov_2.2117	67815	13.1119	13.1119	47.0263
NODE_377_length_67667_cov_58.0815	67667	350.456	350.456	3321.74
NODE_378_length_67470_cov_120.967	67470	747.424	747.424	6102.68
NODE_379_length_67422_cov_2.16458	67422	12.9564	12.9564	18.3493
NODE_380_length_67267_cov_1.97749	67267	12.5466	12.5466	17.7996
NODE_381_length_66346_cov_8.16799	66346	45.7149	45.7149	77.5546
NODE_382_length_66098_cov_3.6441	66098	22.9351	22.9351	35.3211
NODE_383_length_66009_cov_2.09219	66009	12.5889	12.5889	18.1623
NODE_384_length_65932_cov_43.8006	65932	265.895	265.895	2986.52
NODE_385_length_65847_cov_1.83203	65847	11.7032	11.7032	17.4202
